ranking	title	director	description	link
1	Vertigo (1958)	Alfred Hitchcock	A former detective with a fear of heights is hired to follow a woman apparently possessed by the past, in Alfred Hitchcock’s timeless thriller about obsession.	/sightandsoundpolls/2012/film/4ce2b6b9caca4
2	Citizen Kane (1941)	Orson Welles	Given extraordinary freedom by Hollywood studio RKO for his debut film, boy wonder Welles created a modernist masterpiece that is regularly voted the best film ever made.	/sightandsoundpolls/2012/film/4ce2b6a7a801b
3	Tokyo Story (1953)	Ozu Yasujirô 	The final part of Yasujiro Ozu’s loosely connected ‘Noriko’ trilogy is a devastating story of elderly grandparents brushed aside by their self-involved family.	/sightandsoundpolls/2012/film/4ce2b6b8908e4
4	Règle du jeu, La (1939)	Jean Renoir	Made on the cusp of WWII, Jean Renoir’s satire of the upper-middle classes was banned as demoralising by the French government for two decades after its release.	/sightandsoundpolls/2012/film/4ce2b6b41d658
5	Sunrise (1927)	F. W. Murnau	Lured to Hollywood by producer William Fox, German Expressionist filmmaker F.W. Murnau created one of the silent cinema’s last and most luminous masterpieces.	/sightandsoundpolls/2012/film/4ce2b6b7568ee
6	2001: A Space Odyssey (1968)	Stanley Kubrick	Stanley Kubrick took science fiction cinema in a grandly intelligent new direction with this epic story of man’s quest for knowledge.	/sightandsoundpolls/2012/film/4ce2b6b9450a5
7	Searchers, The (1956)	John Ford	John Ford created perhaps the greatest of all westerns with this tale of a Civil War veteran doggedly hunting the Comanche who have kidnapped his niece.	/sightandsoundpolls/2012/film/4ce2b6b54abdf
8	Man with a Movie Camera (1929)	Dziga Vertov	An impression of city life in the Soviet Union, The Man with a Movie Camera is the best-known film of experimental documentary pioneer Dziga Vertov.	/sightandsoundpolls/2012/film/4ce2b6a21d217
9	Passion of Joan of Arc (1927)	Carl Theodor Dreyer	Silent cinema at its most sublimely expressive, Carl Theodor Dreyer’s masterpiece is an austere but hugely affecting dramatisation of the trial of St Joan.	/sightandsoundpolls/2012/film/4ce2b754db651
10	8½ (1963)	Federico Fellini	Federico Fellini triumphantly conjured himself out of a bad case of creative block with this autobiographical magnum opus about a film director experiencing creative block.	/sightandsoundpolls/2012/film/4ce2b6b25bb2b
11	Battleship Potemkin (1925)	Sergei M Eisenstein	A fixture in the critical canon almost since its premiere, Sergei Eisenstein’s film about a 1905 naval mutiny was revolutionary in both form and content.	/sightandsoundpolls/2012/film/4ce2b6a68bd9d
12	Atalante, L' (1934)	Jean Vigo	Newly-weds begin their life together on a working barge in this luminous and poetic romance, the only feature film by director Jean Vigo.	/sightandsoundpolls/2012/film/4ce2b6a439bc9
13	Breathless (1960)	Jean-Luc Godard		/sightandsoundpolls/2012/film/4ce2b6bfd1ebb
14	Apocalypse Now (1979)	Francis Ford Coppola	Transplanting the story of Joseph Conrad’s colonial-era novel Heart of Darkness to Vietnam, Francis Ford Coppola created a visually mesmerising fantasia on the spectacle of war.	/sightandsoundpolls/2012/film/4ce2b69562aa2
15	Late Spring (1949)	Ozu Yasujirô 		/sightandsoundpolls/2012/film/4ce2b6a498bd1
16	Au Hasard Balthazar (1966)	Robert Bresson	Robert Bresson’s distinctive pared down style elicits extraordinary pathos from this devastating tale of an abused donkey passing from owner to owner.	/sightandsoundpolls/2012/film/4ce2b6a44b82c
17	Seven Samurai (1954)	Akira Kurosawa	Rice farmers hire a band of samurai to defend them against marauding bandits in Akira Kurosawa’s influential epic, a touchstone for action movies ever since.	/sightandsoundpolls/2012/film/4ce2b6b5b6382
17	Persona (1966)	Ingmar Bergman	A nurse (Bibi Andersson) and an actress who refuses to speak (Liv Ullmann) seem to fuse identities in Ingmar Bergman’s disturbing, formally experimental psychological drama.	/sightandsoundpolls/2012/film/4ce2b6b2deaa5
19	Mirror (1974)	Andrei Tarkovsky	Andrei Tarkovsky drew on memories of a rural childhood before WWII for this personal, impressionistic and unconventional film poem.	/sightandsoundpolls/2012/film/4ce2b6bb90873
20	Singin' in the Rain (1951)	Stanley Donen/Gene Kelly	Hollywood’s troubled transition from silent to talking pictures at the end of the 1920s provided the inspiration for perhaps the greatest of movie musicals.	/sightandsoundpolls/2012/film/4ce2b6b6036b6
21	Avventura, L' (1960)	Michelangelo Antonioni	In Michelangelo Antonioni’s groundbreaking and controversial arthouse milestone, the mystery of a woman’s disappearance from a Mediterranean island is left unresolved.	/sightandsoundpolls/2012/film/4ce2b6a6e45a7
21	Godfather: Part I, The (1972)	Francis Ford Coppola	The first of Francis Ford Coppola’s epic trilogy about the Corleone crime family is the disturbing story of a son drawn inexorably into his father’s Mafia affairs.	/sightandsoundpolls/2012/film/4ce2b6ab4237b
21	mépris, Le (1963)	Jean-Luc Godard	Working with his biggest budget to date, Jean-Luc Godard created a sublime widescreen drama about marital breakdown, set during pre-production on a film shoot.	/sightandsoundpolls/2012/film/4ce2b6b049967
24	Rashomon (1950)	Akira Kurosawa	Credited with bringing Japanese cinema to worldwide audiences, Akira Kurosawa’s breakthrough tells the story of a murder in the woods from four differing perspectives.	/sightandsoundpolls/2012/film/4ce2b6b3ec3fe
24	Ordet (1955)	Carl Theodor Dreyer	The penultimate film by the Danish master Carl Theodor Dreyer is a parable on the power of faith, set in a remote religious community.	/sightandsoundpolls/2012/film/4ce2b752105a2
24	In The Mood For Love (2000)	Wong Kar Wai		/sightandsoundpolls/2012/film/4ce2b8485aac9
27	Andrei Rublev (1966)	Andrei Tarkovsky	The life of a 15th century icon painter takes centre stage in Andrei Tarkovsky’s epic meditation on the place of art in turbulent times.	/sightandsoundpolls/2012/film/4ce2b6b7433c1
28	Mulholland Dr (2003)	David Lynch		/sightandsoundpolls/2012/film/4ce2b8379038e
29	Stalker (1979)	Andrei Tarkovsky		/sightandsoundpolls/2012/film/4ce2b6bf3bbfd
29	Shoah (1985)	Claude Lanzmann		/sightandsoundpolls/2012/film/4ce2b76b0507b
31	Taxi Driver (1976)	Martin Scorsese	Martin’s Scorsese’s unsettling story of disturbed New York cab driver Travis Bickle (Robert De Niro) is a classic of 70s cinema.	/sightandsoundpolls/2012/film/4ce2b6b7bc1b8
31	Godfather: Part II, The (1974)	Francis Ford Coppola	The expansive second part of Francis Ford Coppola’s Mafia saga continues the Corleone family story, charting in parallel young Vito’s earlier rise to prominence.	/sightandsoundpolls/2012/film/4ce2b6ab42667
33	Bicycle Thieves, The (1948)	Vittorio de Sica	Vittorio De Sica’s story of a father and son searching for a stolen bicycle on the streets of Rome is a classic of post-war Italian cinema.	/sightandsoundpolls/2012/film/4ce2b6ae61fec
34	Psycho (1960)	Alfred Hitchcock		/sightandsoundpolls/2012/film/4ce2b6b39fc24
34	General, The (1926)	Buster Keaton	Train driver Buster Keaton gives chase when Union agents steal his locomotive in this classic silent comedy set at the time of the American Civil War.	/sightandsoundpolls/2012/film/4ce2b6aae85f3
36	Sátántangó (1994)	Béla Tarr		/sightandsoundpolls/2012/film/4ce2b7d2993a2
36	Metropolis (1927)	Fritz Lang	Fritz Lang’s epic vision of a futuristic city where workers toil for their domineering overseers has proved an immeasurable influence on science-fiction filmmaking.	/sightandsoundpolls/2012/film/4ce2b6b0544c6
36	Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles (1975)	Chantal Akerman		/sightandsoundpolls/2012/film/4ce2b73116007
39	dolce vita, La (1960)	Federico Fellini	Federico Fellini’s epic charts a week in the life of a tabloid journalist (Marcello Mastroianni) as the excesses of modern Roman life go on around him.	/sightandsoundpolls/2012/film/4ce2b6a90d39d
